step_t,p_key_found,p_lockpick_found,p_direct_open,p_key_open_const(B10),p_lock_open_const(B11),p_key_branch,p_lock_branch,x_t_open,fail_t(1-x_t),cum_fail,success_by_t,tail_term_for_E[T]
1,0.60,0.50,0.02,=$B$10,=$B$11,=B2*$B$10,=C2*$B$11,=1-(1-D2)*(1-G2)*(1-H2),=1-I2,=J2,=1-K2,=1
2,0.20,0.25,0.02,=$B$10,=$B$11,=B3*$B$10,=C3*$B$11,=1-(1-D3)*(1-G3)*(1-H3),=1-I3,=K2*J3,=1-K3,=K2
3,0.10,0.12,0.02,=$B$10,=$B$11,=B4*$B$10,=C4*$B$11,=1-(1-D4)*(1-G4)*(1-H4),=1-I4,=K3*J4,=1-K4,=K3
4,0.05,0.06,0.01,=$B$10,=$B$11,=B5*$B$10,=C5*$B$11,=1-(1-D5)*(1-G5)*(1-H5),=1-I5,=K4*J5,=1-K5,=K4
5,0.03,0.03,0.01,=$B$10,=$B$11,=B6*$B$10,=C6*$B$11,=1-(1-D6)*(1-G6)*(1-H6),=1-I6,=K5*J6,=1-K6,=K5
6,0.02,0.02,0.01,=$B$10,=$B$11,=B7*$B$10,=C7*$B$11,=1-(1-D7)*(1-G7)*(1-H7),=1-I7,=K6*J7,=1-K7,=K6
7,0.01,0.01,0.00,=$B$10,=$B$11,=B8*$B$10,=C8*$B$11,=1-(1-D8)*(1-G8)*(1-H8),=1-I8,=K7*J8,=1-K8,=K7
8,0.01,0.01,0.00,=$B$10,=$B$11,=B9*$B$10,=C9*$B$11,=1-(1-D9)*(1-G9)*(1-H9),=1-I9,=K8*J9,=1-K9,=K8
9,0.00,0.00,0.00,=$B$10,=$B$11,=B10*$B$10,=C10*$B$11,=1-(1-D10)*(1-G10)*(1-H10),=1-I10,=K9*J10,=1-K10,=K9
10,0.00,0.00,0.00,=$B$10,=$B$11,=B11*$B$10,=C11*$B$11,=1-(1-D11)*(1-G11)*(1-H11),=1-I11,=K10*J11,=1-K11,=K10

Constants,,,,,,,,,,,,
B10: key opens prob s_k,1.0,,,,,,,,,,,
B11: lockpick opens prob s_l,0.5,,,,,,,,,,,
Approx E[T] over horizon,=SUM(M2:M11),,,,,,,,,,,
Stationary shortcut (if x fixed),=1/AVERAGE(I2:I11),,,,,,,,,,,
Limit demo lambda,0.7,,,,,,,,,,,
Limit demo n,1000,,,,,,,,,,,
(1-lambda/n)^n,=(1-B17/B18)^B18,,,,,,,,,,,
exp(-lambda),=EXP(-B17),,,,,,,,,,,
